Name,NILMTK,Sub-meter,Location,Type,Properties,Period(d),Resolution,Channels,EV,AC,HT,HP,cite
REDD,Y,Y,"Boston,USA",R,6,19d,15kHz/3s[fn:res],SVP,0,2,6,0,[[cite:&kolterREDDPublicData]]
UK-Dale,Y,Y,UK,R,5,499d,1s/6s [fn:res],SPV,0,0,1,0,[[cite:&kellyUKDALEDatasetDomestic2015]]
Dataport,Y,Y,"TX&NY&CA,USA",R,75,3.25y/1m,1min,P,2,1,5,3,[[cite:&parsonDataportNILMTKBuilding2015]]
iAWE,Y,Y,India,R,1,73d,1Hz,PQSfVI,0,2,0,0,[[cite:&batraItDifferentInsights2013]]
Smart,Y,Y,"MA, USA",R,3-5?,90d,1min,PS,0,0,2,1,[[cite:&barkerSmartOpenData]]
BERDS,N,Y,USA,C,3,7d,20s,PQS,0,0,0,4,[[cite:&maasoumyBERDSBERkeleyEneRgyDisaggregation2013]]
DEDDIAG,Y,Y,Germany,R,15,3.5y,1Hz,P,0,0,0,1,[[cite:&wenningerDEDDIAGDomesticElectricity2021]]
AMPds,Y,Y,Canada,R,1,730d,1min,PQSfVI,0,1,1,1,[[cite:&makoninAMPdsPublicDataset2013]]
Ideal,Y,Y,UK,R,39,?,1Hz,S/P[fn:ideal],0,0,+,0,[[cite:&goddardnigelIDEALHouseholdEnergy2021]]
REFIT,Y,Y,UK,R,20,21m,8s,P$,0,0,3,0,[[cite:&murrayDataManagementPlatform]]
HES,Y,Y,UK,R,225/26[fn:hes],1m/1y[fn:hes],2min,P,0,1,72,0,[[cite:&PoweringNationHousehold2011]]
GREEND,Y,Y,Austria/Ita,R,9,310d,1Hz,P,0,0,1,0,[[cite:&monacchiGREENDEnergyConsumption2014]]
ECO,Y,Y,Switzerland,R,6,244d,1Hz,PIV\Theta,0,0,0,0,[[cite:&beckelECODataSet2014]]
COMBED,Y,Y,India,C,1,30d,30s,?,0,0,0,0,[[cite:&batraComparisonNonintrusiveLoad2014]]
BLUED,N,Y,"PA, US",R,1,8d,12kHz,PIV,0,1,0,0,[[cite:&kyled.andersonBLUEDFullyLabeled2012]]
DREDD,Y,Y,Netherlands,R,1,6m,1Hz,P,0,1,0,0,[[cite:&uttamanambiLocEDLocationawareEnergy2015]]
SustData,N,N,Portugal,R,50,504d,1min,?,0,0,0,0,[[cite:&pereiraSustDataPublicDataset2014]]
Tracebase,N,Y,Germany,R,[fn:tb],[fn:tb],1-10s,P,0,0,0,0,[[cite:&reinhardtAccuracyApplianceIdentification2012]]
<6>,<6>,<2>,<6>,,<8>,<8>,<8>,<6>,,,,,<2>
